	Day	UseForFinalData	Well	Sample	PEG	Sex	Mouse_num	Osmolality	Species	Primer_Set	Output_Conc(copies/ul)	Accepted_droplets	Positive_dropletes	Rxn_Well_volume_ul	DropletGenerator_volume	template_input_ul	Diluted_conc(copies/ul)	dilution	Undiluted_Copies/ul	Rel_abund_sample_ddPCR	Total_sample_absolute_load_ul	Total_sample_absolute_load_ml	Total_CFU_ml
0	2024-05-09	y		5_M2	5.0	M	2	579	Muribaculum intestinale	2	672.0			22	20	6.0	123.2	1000	123200.0				
1	2024-05-09	y		5_M3	5.0	M	3	503	Muribaculum intestinale	2	530.0			22	20	2.0	291.5	1000	291500.0				
2	2024-05-09	y		5_F1	5.0	F	1	488	Muribaculum intestinale	2	986.0			22	20	2.0	542.3	1000	542300.0				
3	2024-05-09	y		5_F2	5.0	F	2	461	Muribaculum intestinale	2	307.0			22	20	2.0	168.85	1000	168850.0				
4	2024-05-09	y		5_F3	5.0	F	3	441	Muribaculum intestinale	2	230.0			22	20	2.0	126.5	1000	126500.0				
5	2024-05-09	y		10_M1	10.0	M	1	573	Muribaculum intestinale	2	5164.0			22	20	2.0	2840.2	10	28402.0				
6	2024-05-09	y		10_M2	10.0	M	2	651	Muribaculum intestinale	2	0.368			22	20	2.0	0.2024	10	2.024				
7	2024-05-09	y		10_M3	10.0	M	3	641	Muribaculum intestinale	2	0.302			22	20	2.0	0.1661	10	1.661				
8	2024-05-09	y		10_F1	10.0	F	1	722	Muribaculum intestinale	2	1912.0			22	20	2.0	1051.6	10	10516.0				
9	2024-05-09	y		10_F2	10.0	F	2	697	Muribaculum intestinale	2	132.0			22	20	2.0	72.6	10	726.0				
10	2024-05-09	y		10_F3	10.0	F	3	712	Muribaculum intestinale	2	8.25			22	20	2.0	4.5375	10	45.375				
11	2024-05-09	y		15_M3	15.0	M	3	673	Muribaculum intestinale	2	270.0			22	20	2.0	148.5	10	1485.0				
12	2024-05-09	y		15_F2	15.0	F	2	784	Muribaculum intestinale	2	0.43			22	20	2.0	0.2365	10	2.365				
13	2024-05-09	y		5_M1	5.0	M	1	498	Akkermansia muciniphila	2	62.7			22	20	2.0	34.485	1000	34485.0				
14	2024-05-09	y		5_M2	5.0	M	2	579	Akkermansia muciniphila	2	26.7			22	20	2.0	14.685	1000	14685.0				
15	2024-05-09	y		5_M3	5.0	M	3	503	Akkermansia muciniphila	2	115.0			22	20	2.0	63.25	1000	63250.0				
16	2024-05-09	y		5_F1	5.0	F	1	488	Akkermansia muciniphila	2	398.0			22	20	2.0	218.9	1000	218900.0				
17	2024-05-09	y		5_F2	5.0	F	2	461	Akkermansia muciniphila	2	109.0			22	20	2.0	59.95	1000	59950.0				
18	2024-05-09	y		5_F3	5.0	F	3	441	Akkermansia muciniphila	2	130.0			22	20	2.0	71.5	1000	71500.0				
19	2024-05-09	y		10_M1	10.0	M	1	573	Akkermansia muciniphila	2	3814.0			22	20	2.0	2097.7	10	20977.0				
20	2024-05-09	y		10_M2	10.0	M	2	651	Akkermansia muciniphila	2	3168.0			22	20	2.0	1742.4	10	17424.0				
21	2024-05-09	y		10_M3	10.0	M	3	641	Akkermansia muciniphila	2	963.0			22	20	2.0	529.65	10	5296.5				
22	2024-05-09	y		10_F2	10.0	F	2	697	Akkermansia muciniphila	2	3383.0			22	20	2.0	1860.65	10	18606.5				
23	2024-05-09	y		10_F3	10.0	F	3	712	Akkermansia muciniphila	2	410.0			22	20	2.0	225.5	10	2255.0				
24	2024-05-09	y		15_M1	15.0	M	1	733	Akkermansia muciniphila	2	3870.0			22	20	2.0	2128.5	10	21285.0				
25	2024-05-09	y		15_M2	15.0	M	2	727	Akkermansia muciniphila	2	0.416			22	20	2.0	0.2288	10	2.288				
26	2024-05-09	y		15_F1	15.0	F	1	788	Akkermansia muciniphila	2	0.984			22	20	2.0	0.5412	10	5.412				
27	2024-05-09	y		15_F2	15.0	F	2	784	Akkermansia muciniphila	2	29.1			22	20	2.0	16.005	10	160.05				
